ts,symbol,interval,open,high,low,close,volume,source
2026-03-06 01:21:00+00:00,BTC-USD,1m,70881.43,70898.0,70858.34,70876.36,3.07704,binance
2026-03-06 01:22:00+00:00,BTC-USD,1m,70876.36,70876.37,70821.1,70821.1,3.67257,binance
2026-03-06 01:23:00+00:00,BTC-USD,1m,70821.11,70826.83,70818.39,70823.68,1.6111,binance
2026-03-06 01:24:00+00:00,BTC-USD,1m,70823.68,70842.49,70819.79,70842.49,22.83325,binance
2026-03-06 01:25:00+00:00,BTC-USD,1m,70842.49,70853.52,70704.42,70704.48,26.15242,binance
2026-03-06 01:26:00+00:00,BTC-USD,1m,70704.48,70734.11,70532.11,70559.16,66.28193,binance
2026-03-06 01:27:00+00:00,BTC-USD,1m,70559.16,70591.48,70344.03,70426.34,142.62663,binance
2026-03-06 01:28:00+00:00,BTC-USD,1m,70426.34,70470.52,70384.05,70419.91,28.23187,binance
2026-03-06 01:29:00+00:00,BTC-USD,1m,70419.92,70483.09,70406.84,70465.03,13.91195,binance
2026-03-06 01:30:00+00:00,BTC-USD,1m,70465.03,70603.98,70455.84,70590.97,28.44165,binance
2026-03-06 01:31:00+00:00,BTC-USD,1m,70590.97,70831.99,70590.97,70718.46,31.10979,binance
2026-03-06 01:32:00+00:00,BTC-USD,1m,70718.47,70736.59,70674.52,70734.96,23.05821,binance
2026-03-06 01:33:00+00:00,BTC-USD,1m,70734.97,70798.2,70720.46,70798.2,15.07032,binance
2026-03-06 01:34:00+00:00,BTC-USD,1m,70798.21,70858.82,70798.21,70850.88,14.18003,binance
2026-03-06 01:35:00+00:00,BTC-USD,1m,70850.89,71004.0,70850.89,70955.65,26.77156,binance
2026-03-06 01:36:00+00:00,BTC-USD,1m,70955.65,70960.57,70848.51,70884.57,11.44993,binance
2026-03-06 01:37:00+00:00,BTC-USD,1m,70884.57,70995.31,70884.56,70995.31,8.98348,binance
2026-03-06 01:38:00+00:00,BTC-USD,1m,70995.31,71046.99,70956.54,71046.99,7.30493,binance
2026-03-06 01:39:00+00:00,BTC-USD,1m,71046.99,71056.01,70994.01,71001.03,7.33381,binance
2026-03-06 01:40:00+00:00,BTC-USD,1m,71001.03,71110.99,71001.03,71107.89,16.05211,binance
2026-03-06 01:41:00+00:00,BTC-USD,1m,71108.0,71118.64,71062.4,71090.78,8.37815,binance
